role,name,version,status,sourceType,sourceUrl,retrievedAt,retrievedDaysAgo,notes
consensus,example-consensus-client,0.0.0-example,unknown,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Placeholder only. Replace with a sourced compatibility statement before relying on this matrix.
consensus,example-consensus-client,1.0.0-compatible,compatible,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic compatible status used by safe fixture variants; do not treat as a real client release.
consensus,example-consensus-client,1.1.0-partial,partial,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic partial status for tests and examples only.
consensus,example-consensus-client,2.0.0-incompatible,incompatible,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic incompatible status for tests and examples only.
consensus,grandine,ethpandaops/grandine:glamsterdam-devnet-2-minimal,partial,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,2026-05-13,0,Devnet image only. This is not a production Grandine release compatibility claim.
consensus,lighthouse,ethpandaops/lighthouse:glamsterdam-devnet-3,partial,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,2026-05-12,1,Devnet image only. This is not a production Lighthouse release compatibility claim.
consensus,lodestar,ethpandaops/lodestar:glamsterdam-devnet-2,partial,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,2026-05-13,0,Devnet image only. This is not a production Lodestar release compatibility claim.
consensus,nimbus,ethpandaops/nimbus-eth2:glamsterdam-devnet-2-minimal,partial,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,2026-05-13,0,Devnet image only. This is not a production Nimbus release compatibility claim.
consensus,prysm,ethpandaops/prysm-beacon-chain:glamsterdam-devnet-3-minimal,partial,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,2026-05-13,0,Devnet image only. This is not a production Prysm release compatibility claim.
consensus,teku,ethpandaops/teku:glamsterdam-devnet-2,partial,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,2026-05-12,1,Devnet image only. This is not a production Teku release compatibility claim.
execution,example-execution-client,0.0.0-example,unknown,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Placeholder only. Replace with a sourced compatibility statement before relying on this matrix.
execution,example-execution-client,1.0.0-compatible,compatible,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic compatible status used by safe fixture variants; do not treat as a real client release.
execution,example-execution-client,1.1.0-partial,partial,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic partial status for tests and examples only.
execution,example-execution-client,2.0.0-incompatible,incompatible,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic incompatible status for tests and examples only.
execution,geth,ethpandaops/geth:bal-devnet-6,partial,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,2026-05-12,1,Devnet image only. This is not a production Geth release compatibility claim.
validator,example-validator-client,0.0.0-example,unknown,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Placeholder only. Replace with a sourced compatibility statement before relying on this matrix.
validator,example-validator-client,1.0.0-compatible,compatible,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic compatible status used by safe fixture variants; do not treat as a real client release.
validator,example-validator-client,1.1.0-partial,partial,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic partial status for tests and examples only.
validator,example-validator-client,2.0.0-incompatible,incompatible,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,2026-05-12,1,Synthetic incompatible status for tests and examples only.
