sourceFixture,fixtureKind,thresholdProfile,report,risk,findingCount,findingIds
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,default,reports/bytecode-ens-registry-mainnet-runtime--default.json,medium,4,bytecode.state-account-opcode-exposure|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,research,reports/bytecode-ens-registry-mainnet-runtime--research.json,medium,4,bytecode.state-account-opcode-exposure|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,default,reports/bytecode-multicall3-mainnet-runtime--default.json,low,3,bytecode.calldata-copy-exposure|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,research,reports/bytecode-multicall3-mainnet-runtime--research.json,low,4,bytecode.state-account-opcode-presence|bytecode.calldata-copy-exposure|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/storage-heavy.hex,bytecode,default,reports/bytecode-storage-heavy--default.json,medium,6,bytecode.state-account-opcode-exposure|bytecode.calldata-copy-exposure|bytecode.contract-creation-opcodes|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/storage-heavy.hex,bytecode,research,reports/bytecode-storage-heavy--research.json,medium,6,bytecode.state-account-opcode-exposure|bytecode.calldata-copy-exposure|bytecode.contract-creation-opcodes|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,default,reports/bytecode-uniswap-v2-factory-mainnet-runtime--default.json,medium,6,bytecode.state-account-opcode-exposure|bytecode.calldata-copy-exposure|bytecode.contract-creation-opcodes|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,research,reports/bytecode-uniswap-v2-factory-mainnet-runtime--research.json,medium,6,bytecode.state-account-opcode-exposure|bytecode.calldata-copy-exposure|bytecode.contract-creation-opcodes|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,default,reports/bytecode-usdc-proxy-mainnet-runtime--default.json,medium,4,bytecode.state-account-opcode-exposure|bytecode.calldata-copy-exposure|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,research,reports/bytecode-usdc-proxy-mainnet-runtime--research.json,medium,5,bytecode.state-account-opcode-exposure|bytecode.calldata-copy-exposure|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,default,reports/bytecode-weth9-mainnet-runtime--default.json,medium,4,bytecode.state-account-opcode-exposure|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,research,reports/bytecode-weth9-mainnet-runtime--research.json,medium,4,bytecode.state-account-opcode-exposure|bytecode.storage-heavy-pattern|bytecode.log-opcodes-present|bytecode.manual-review-required
fixtures/indexers/balance-diff-indexer.json,indexer,default,reports/indexers-balance-diff-indexer--default.json,medium,2,indexer.balance-diff-native-transfer-assumption|indexer.missing-bal-readiness-metadata
fixtures/indexers/explorer-replay-indexer.json,indexer,default,reports/indexers-explorer-replay-indexer--default.json,medium,1,indexer.balance-diff-native-transfer-assumption
fixtures/indexers/graph-network-subgraph-reduced.yaml,indexer,default,reports/indexers-graph-network-subgraph-reduced--default.json,medium,5,indexer.event-only-assumption|indexer.native-eth-transfer-review-missing|indexer.missing-bal-readiness-metadata|indexer.missing-fork-compatibility-metadata|indexer.missing-replay-plan
fixtures/indexers/subgraph.yaml,indexer,default,reports/indexers-subgraph--default.json,medium,5,indexer.event-only-assumption|indexer.native-eth-transfer-review-missing|indexer.missing-bal-readiness-metadata|indexer.missing-fork-compatibility-metadata|indexer.missing-replay-plan
