sourceFixture,fixtureKind,thresholdProfile,report,findingIndex,findingId,title,severity,confidence,domains,relatedEips
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,default,reports/bytecode-ens-registry-mainnet-runtime--default.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,default,reports/bytecode-ens-registry-mainnet-runtime--default.json,2,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,default,reports/bytecode-ens-registry-mainnet-runtime--default.json,3,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,default,reports/bytecode-ens-registry-mainnet-runtime--default.json,4,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,research,reports/bytecode-ens-registry-mainnet-runtime--research.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,research,reports/bytecode-ens-registry-mainnet-runtime--research.json,2,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,research,reports/bytecode-ens-registry-mainnet-runtime--research.json,3,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/ens-registry-mainnet-runtime.hex,bytecode,research,reports/bytecode-ens-registry-mainnet-runtime--research.json,4,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,default,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--default.json,1,bytecode.contract-size-near-current-limit,Bytecode is near the current deployed contract size limit,medium,high,contracts|execution,EIP-7954
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,default,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--default.json,2,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,default,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--default.json,3,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,default,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--default.json,4,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
