id,name,status,domain,detectors,notes
EIP-7708,ETH transfers emit a log,scheduled,execution|indexer|monitoring,nativeEthTransferLogDetectors,Used for native ETH transfer visibility checks. Status refreshed from EIP-7773.
EIP-7732,Enshrined Proposer-Builder Separation,scheduled,consensus|validator|builder,epbsDetectors,Used for validator and operator readiness checks around builder/API metadata.
EIP-7778,Block Gas Accounting without Refunds,scheduled,execution|contracts,,Scheduled by EIP-7773. No detector currently claims exact refund or gas accounting behavior.
EIP-7843,SLOTNUM opcode,scheduled,execution|contracts,,Scheduled by EIP-7773. No detector currently inspects SLOTNUM-specific bytecode behavior.
EIP-7928,Block-Level Access Lists,scheduled,execution|indexer|monitoring,balDetectors,Used for BAL-related indexer and monitoring readiness checks. Do not hardcode final behavior in detector code.
EIP-7954,Increase Maximum Contract Size,scheduled,execution|contracts,contractSizeDetectors,Used only to flag contract-size review areas. Final limits may change.
EIP-7976,Increase Calldata Floor Cost,scheduled,execution|contracts,gasRepricingDetectors,Used for calldata-heavy trace and bytecode review prompts when calldata evidence is visible.
EIP-7981,Increase Access List Cost,scheduled,execution|contracts,,Scheduled by EIP-7773. No detector currently infers exact access-list cost impact.
EIP-8024,"Backward compatible SWAPN, DUPN, EXCHANGE",scheduled,execution|contracts,,Scheduled by EIP-7773. No detector currently scans for these opcodes.
EIP-8037,State Creation Gas Cost Increase,scheduled,execution|contracts,stateCreationDetectors,Used for CREATE and CREATE2 review prompts. Do not infer exact cost changes.
EIP-2780,Reduce intrinsic transaction gas,considered,execution|contracts,,Considered by EIP-7773. No detector currently infers native transfer fee changes.
EIP-7688,Forward compatible consensus data structures,considered,consensus|validator,,Considered by EIP-7773. Tracked for operator awareness only.
EIP-7904,General Repricing,considered,execution|contracts,gasRepricingDetectors,"Broad repricing candidate. Exact gas deltas must come from data, not hardcoded detector logic."
EIP-7997,Deterministic Factory Predeploy,considered,execution|contracts,,Considered by EIP-7773. No detector currently infers app behavior from deterministic factory assumptions.
EIP-8038,State-access gas cost increase,considered,execution|contracts,gasRepricingDetectors,Used for storage/account access review prompts. Do not infer exact cost changes.
EIP-8045,Exclude slashed validators from proposing,considered,consensus|validator,,Considered by EIP-7773. Tracked for validator/operator readiness context.
EIP-8061,Increase exit and consolidation churn,considered,consensus|validator,,Considered by EIP-7773 and present in the glamsterdam-devnet-2 spec as a new EIP.
EIP-8080,Let exits use the consolidation queue,considered,consensus|validator,,Considered by EIP-7773. EF Soldogn recap says CL teams discussed and narrowed smaller Glamsterdam EIPs.
EIP-8246,Remove SELFDESTRUCT Burn,considered,execution|contracts,,Considered by EIP-7773. No detector currently scans SELFDESTRUCT burn semantics.
EIP-7975,eth/70 - partial block receipt lists,considered,networking|indexer,,Networking EIP considered by EIP-7773. Tracked for indexer and sync-tool awareness.
EIP-8070,eth/72 - Sparse Blobpool,considered,networking,,Networking EIP considered by EIP-7773.
EIP-8136,Cell-Level Deltas for Data Column Broadcast,considered,networking,,Networking EIP considered by EIP-7773.
EIP-8159,eth/71 - Block Access List Exchange,considered,networking|indexer|monitoring,,Networking companion to EIP-7928. Tracked for tooling that retrieves BALs from peers.
